date,user_id,IP in SH(1) or CQ(0),weibo_id,comment_content_process,bert
2022-03-17,7238401674,1,LkbmGgTK0,宋 雨琦 MCD 舞台 直拍 gidleMCD 回归 舞台 竖版 直拍 G I DLE 宋 雨琦 MY BAG 220317 MCD 元气桃浦 选手 的 微博 视频 赞 4997 原文 转发 715 原文 评论 262 转发 理由 转发 微博,0.059232254
2022-03-17,5618699626,1,Lk5FfrrYB,纪录片 战国 七 雄 两千五百 年前 春秋 末期 周天子 作为 天下 共主 的 权威 地位 早已 丧失 殆尽 各诸侯国 之间 大大 加快 了 以 强 并 弱 的 步伐 进入 战国 时期 各国 君主 纷纷 进行 变法 改制 微博 纪录片 联盟 稗官 公记 稗官 公记 的 微博 视频 赞 43 原文 转发 156 原文 评论 4 转发 理由 转发 微博,0.9223984
2022-03-17,5618699626,1,Lk9SL7E8h,瘦身 操 无 跳动 不 伤 膝盖 超 燃脂 有氧 运动 20 分钟 无 工具 低 强度 减肥 操 每 组 动作 30秒 每 组 动作 做 完 记得 休息 几 秒 哟 组图 共 9 张 原图 赞 0 原文 转发 1 原文 评论 0 转发 理由 转发 微博,0.07799293
2022-03-17,5618699626,1,Lk9TfAT0U,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 转发 微博,0.06670443
2022-03-17,5618699626,1,LkbLNwt6L,最好 的 腿部 训练 无 负重 连锋 医生 的 微博 视频 赞 194 原文 转发 579 原文 评论 10 转发 理由 转发 微博,0.059268516
2022-03-17,2640425803,1,Lk9S1jtyL,普京 谈 民族 叛徒 他们 自身 就是 西方 的 耗材 当地 时间 3月 16日 普京 提到 了 关于 所谓 的 第五 纵队 和 民族 叛徒 他们 在 我们 这里 赚钱 却 在 其他 地方 生活 他们 想 要是 自己 成为 高种 姓 的 人 可是 他们 已经 忘记 或 不 明白 他们 自身 甚至 都会 被 当作 耗材 对 我们 的 人民 造成 巨大 伤害 普京 这 番 话 同样 适用于 中国 的 公知 http t cn A66IdZzm 赞 750 原文 转发 117 原文 评论 99 转发 理由 耗材,0.27254978
2022-03-17,2690549404,1,Lk68BbvTj,春雨 落花 昨日 和 风轻 拂面 今朝 喜雨 倒 春寒 组图 共 4 张 原图,0.58621407
2022-03-17,2690549404,1,Lkcd2ACkg,坏 消息 小区 封 了 48 小时 好 消息 提前 囤 了 很多 泡面 和 火腿肠 坏 消息 囤 的 泡面 全 是 老坛 酸菜 和 双汇 赞 6 原文 转发 1 原文 评论 2 转发 理由 坏 消息 小区 封 了 48 小时 好 消息 提前 囤 了 很多 泡面 和 火腿肠 坏 消息 囤 的 泡面 全 是 老坛 酸菜 和 双汇,0.065072306
2022-03-17,6103005527,1,Lk46z6vlF,原图 赞 1175 原文 转发 33 原文 评论 78 转发 理由 我们 楼道 建 个 宇宙 法庭 裁定 国际 法庭 的 裁定 无效,0.07961456
2022-03-17,6103005527,1,Lk4728pB0,绿媒 这样 宣传 🐸黄 创夏 前 苏联 国斯拉 夫人 也 反 俄 普京 发表 讲话 称 没有 占领 乌克兰 的 计划 武力 统一 的 微博 视频 赞 92 原文 转发 12 原文 评论 41 转发 理由 非 正常 蛙类 研究所,0.8491208
2022-03-17,3215131980,1,Lk85ZDZCF,司马南 降 美弃 俄 是 一 条 死路 司马南 的 微博 视频 赞 6367 原文 转发 584 原文 评论 1340 转发 理由 转发 微博,0.04750781
2022-03-17,3215131980,1,Lk87NjG86,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 转发 微博,0.0290035
2022-03-18,3215131980,1,LkjdIhZSE,微博 渔场 我 刚刚 在 的 渔场 捞到 了 3鱼币 运气 爆棚 嘘 微博 渔场,0.08548928
2022-03-18,3215131980,1,Lkeg0sVBr,我 在 森林 驿站 帮助 了 东北虎 获得 了 爱心 和 动物 卡片 熊猫 守护者 们 快 加入 驿站 一起 玩 吧 熊猫 守护者 原图,0.1860632
2022-03-18,3215131980,1,LkhHKnNAb,惊喜 偶遇 和 唐家河 野生 大熊猫 对 上 眼神 了 2022年 3月 15日 四川 大熊猫 国家 公园 唐家河 片区 摩天岭 保护站 工作 人员 在 开展 第一 季度 生物 多样性 监测 的 途中 再 一 次 拍摄 到 野生 大熊猫 在 不 到 7 米 的 一 株 直径 约40 厘米 的 铁杉树 上 一 只 体形 不大 的 大熊猫 正紧 抱 着 树干 透过 参差 的 树枝 与 工作 人员 打 了 个 照面 在 短暂 的 对视 之后 它 沿着 树干 一 溜 到底 迅速 消失 在 茂密 的 竹海 中 通过 测量 铁杉树 下 的 新鲜 粪便 和 其 取食 痕迹 调查 人员 判定 该 大熊猫 个体 年龄 较 小 应当 介于 成体 和 亚成体 之间 熊猫 播报 原图 赞 1604 原文 转发 143 原文 评论 219 转发 理由 转发 微博,0.051534705
2022-03-18,6463855622,1,Lkh4v3wUy,我 想 告诉 美国人 中国人 从来 不怕 强权 压迫 从来 不怕 帝国主义 我们 的 历史 告诉 我们 的 就是 这个 以为 还 能 上演 近代史 中西方 强盗 在 中国 国土 上 的 巧取豪夺 你 做梦 我们 的 历史 告诉 我们 分裂 就 意味着 生灵涂炭 国之不国 统一 就 意味着 繁荣昌盛 安居乐业 我们 的 历史 绚烂 绵长 你们 这种 246年 的 强盗 是 没有 办法 理解 的 组图 共 4 张 原图 赞 5221 原文 转发 253 原文 评论 578 转发 理由 转发 微博,0.9293994
2022-03-18,3215131980,1,Lkjdn2HSK,微博 渔场 我 刚刚 在 的 渔场 捞到 了 4鱼币 运气 爆棚 嘘 微博 渔场,0.11295393
2022-03-18,5531996071,0,LkePxmztq,原神 超话 原神 2 6 版本 直播 原神 流风 眷 堇庭 亲爱 的 旅行者 又 到 了 派蒙 的 预告 时间 原神 2 6 版本 前瞻 特别 节目 将 于 3月 18日 本周五 晚 20 00 正式 开启 提前 关注 直播 间 http t cn A6zWSQnW 我们 不见不散 本期 特别 节目 将 为 大家 带来 2 6 版本 的 更新 内容 直播间 内 还有 兑换码 等 福利 掉落 关注 并 转发 一 位 好友 我们 将 通过 机 抽出 50 位 旅行者 赠送 纠缠 之 缘× 10 1 份 本次 活动 将 于 3月 18日 18 00 开奖 请 关注 官方 消息 奖励 道具 纠缠之缘 将 会 在 收集 旅行者 的 获奖 信息 后 以 游戏 内 邮件 的 形式 发送 邮件 有效期 为 30 天 请 留意 邮件 时限 组图 共 2 张 原图 赞 38007 原文 转发 41013 原文 评论 20493 转发 理由 来 拉 低 中奖率,0.10915651
2022-03-18,5531996071,0,LkieF58am,上海 发布 回应 肿瘤 医院 附近 癌症 患者 求助 接 网友 私信 昨日 网传 视频 中 下跪 求助 的 阿姨 其 患病 的 丈夫 已 于 今天 凌晨 去世 上海 新增 本土 确诊 病例 57 例 上海 新增 本土 无 症状 203 例 组图 共 9 张 原图 赞 145947 原文 转发 24381 原文 评论 6474 转发 理由 首先 我 很 遗憾 这种 事情 的 发生 然后 就是 这 件 事 凸现 了 防疫 的 重要性 试想 如果 躺平 医疗 资源 被 挤爆 不仅 是 这样 的 肿瘤 重症 患者 还 会 有 更 多 的 其他 重症 患者 得 不 到 及时 治疗 最后 防疫 科学性 也 很 重要 不 能 过于 机械 要 学会 在 合理 范围 内 灵活 应对 尽量 避免 悲剧,0.10299021
2022-03-18,5531996071,0,LklYQiH2k,妈妈 首先 也 是 独立 的 人 话题 很 好 但是 原图 里面 女儿 说 自己 妈 错过 了 自己 所有 重要 的 时刻 我 就 觉得 这 妈 追星 的 程度 有待 商榷,0.10237164
